Author,Headline,Summary,Article links,Articles
Daisy Mowke,49 celebrities write letter to PM Modi over rising lynching cases,"Forty-nine celebrities, including directors Anurag Kashyap, Mani Ratnam and actress Konkona Sensharma have written a letter to PM Narendra Modi, expressing concern over rising lynching cases in the country. They wrote, ""You've criticised...lynchings in Parliament, but that is not enough! What action has actually been taken?"" ""Regrettably 'Jai Shri Ram' has become a...'war-cry' today,"" the letter reads.",https://www.timesnownews.com/india/article/amid-rise-in-lynching-cases-49-celebrities-write-to-pm-modi-say-dissent-makes-india-stronger/458260?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,"""Regrettably 'Jai Shree Ram' has become a provocative war-cry today"", ""The name of Ram is sacred to many in the majority community of India... put a stop to the name of Ram being defiled"", ""Over 254 religious identity-based hate crimes were reported between January 1, 2009 and October 29, 2018"", ""840 instances of atrocities against Dalits in the year 2016"", ""Dear Prime Minister, what action has been taken against the perpetrators?""

These are some of the statements made and questions asked in an open letter signed by social activists, filmmakers and artists like Adoor Gopalkrishnan, Mani Ratnam, Anurag Kashyap, Binayak Sen, Soumitro Chatterjee, Aparna Sen, Konkana Sen Sharma, Revathy, Shyam Benegal, Shubha Mudgal, Rupam Islam, Anupam Roy, Parambrata, Riddhi Sen to name a few.

The letter expresses deep concern over the growing trend of lynching by a mob in this country. They also demanded non-bailable, exemplary punishment for those found guilty of the crime. 

People like Binayak Sen, director Anjan Dutta and Gautam Ghosh, who have signed the letter, also expressed the tendency of those in power of tagging someone an 'anti-national' or 'urban Naxal' whenever he or she tries to show dissent against the ruling government."
Daisy Mowke,"After Bihar, UP, Rajasthan, 'Super 30' declared tax-free in Gujarat","Hrithik Roshan starrer 'Super 30' has been declared tax-free in Gujarat, making it the fourth state where the film is now tax-free. Previously, the film had been declared tax-free in the states of Rajasthan, Uttar Pradesh and Bihar. Thanking Gujarat CM Vijay Rupani, Hrithik tweeted, ""Team Super 30 is deeply overwhelmed by your kind gesture.""",https://www.pinkvilla.com/entertainment/news/hrithik-roshans-super-30-declared-tax-free-gujarat-actor-expresses-his-gratitude-towards-cm-vijay-rupani-463516?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,"After Bihar, Rajasthan and Uttar Pradesh, Hrithik Roshan starrer Super 30 has now been declared tax - free in Gujarat too. The actor has thanked the Chief Minister of Gujarat, Vijay Rupani for the same on his twitter account. Check out Hrithik Roshan's tweet.
Hrithik Roshan is currently on cloud nine as his latest movie Super 30 has been performing really well at the box office. The movie has earned a lot of appreciation from the fans as well as the film critics for its realistic portrayal of characters and inspiring story. Moreover, Hrithik has been seen in a completely different avatar in Super 30 which has further excited his fans. The actor had gone through rigorous physical transformation in order to fit into his role in the movie.
Well there is another good news for all the fans of Hrithik Roshan. Super 30 has now been declared tax - free in the state of Gujarat too. Previously the movie had been declared tax - free in the states of Rajasthan, Uttar Pradesh and Bihar too. So, Gujarat becomes the fourth state in which the movie has been declared tax - free. Hrithik Roshan has now thanked Vijay Rupani, the Chief Minister of Gujarat for making the movie tax - free in the state. The actor tweets, “Thank you Vijay Rupani ji vijayrupanibjp, for rewarding our efforts and declaring Super 30 tax free in Gujarat. Team Super 30 is deeply overwhelmed by your kind gesture.”
"
Daisy Mowke,Lost 6 months as I couldn't remember anything: Disha on head injury,"Actress Disha Patani, in an interview with Mid-Day, revealed that she once lost her memory after falling on her head while she was training on concrete floors. ""I lost six months of my life because I couldn't remember anything,"" she said. Disha, who practises gymnastics and MMA, added, ""[Only when] you break your bones and knees do you reach somewhere."" ",https://www.pinkvilla.com/entertainment/news/what-disha-patani-reveals-she-lost-her-memory-6-months-due-injury-her-head-463569?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,"Disha Patani is among the fittest female actors in the business and is often seen pulling off the most daring gymnast moves. In a recent chat, Disha revealed she suffered from memory loss once due to an injury.
While most actors in Bollywood like to do their own stunts, sometimes a body double might be used. When it comes to female actors taking up their own stunts, many of our mainstream stars put in all their efforts to ace it completely. Speaking of this, Bharat star Disha Patani is one of the fittest actresses in Bollywood and is often seen pulling of daredevil gymnastic moves. Be it backflip or somersault on loop, Disha trains hard with her trainer in MMA (Mixed Martial Arts) and is able to do most stunts.
However, doing all this, she hasn’t been averse to injuries. The most recent one happened when she was shooting for Bharat with Salman Khan and she busted her knee. In a recent chat with Mid-Day, Disha revealed that once she was injured while training on concrete floors and had sustained a hit to her head. This resulted in memory loss for 6 months. Yes, the Bharat star opened about the same and mentioned that she lost out on time in those months.
Disha said, “I lost six months of my life because I couldn't remember anything.” But when it came to doing gymnastics or MMA, Disha’s approach never changed. She mentioned that breaking bones is a part of the process. Bharat star mentioned, “When I am not shooting, I alternate between practising gymnastics and MMA in the week. MMA is relatively easier. But for gymnastics, you have to be both, consistent and brave. It has taken me a while to reach where I am. You have to do it every day. Only when you break your bones and knees do you reach somewhere.” 
"
Anmol Sharma,Culture of scolding isn't even there in dressing room now: Kohli,"On being asked if he has to be harsh with youngsters sometimes, India captain Virat Kohli said the culture of scolding isn't even there in the dressing room now. ""The atmosphere is such that anyone can say anything to anyone,"" Virat added. ""I tell [the youngsters], 'Listen, I've committed these mistakes, make sure you don’t do them',"" he further said.",https://www.crictracker.com/the-culture-of-scolding-people-isnt-there-in-the-change-room-now-virat-kohli/ ,"Post the 2019 World Cup, Team India is now thinking about building the side for the next mega event. With the likes of Virat Kohli and Rohit Sharma around, the youngsters coming into the team will get a lot to learn. The players like Prithvi Shaw, Shubman Gill, Rishabh Pant are growing fast and are the future of the Indian cricket and when asked about how he prevents them from losing the track, Kohli revealed the way he makes them feel comfortable before having a conversation.
As a youngster, if you are a very good player, there will be a lot of distractions and Kohli himself admits that he made many mistakes while growing up. The Indian captain also went on to say that the dressing room atmosphere is so friendly these days that the youngsters joining the team don’t feel intimidated at all.
“Daantne wala mahaul ab toh change room mein hai hi nahin(the culture of scolding people isn’t there in the change room now.) As friendly as I am with Kuldeep (Yadav), I am the same with MS (Dhoni). The atmosphere is such that anyone can say anything to anyone. I am like walking up to people and telling them, ‘dekh maine yeh galtiya kari hain, tu mat kar(listen, I have committed these mistakes, make sure you don’t do them)’,” Kohli said while speaking to the Times of India.
Virat Kohli also spilt the beans on what he says to the players who are struggling to come to the terms with the conditions or their technique or even when they are losing the track. The 30-year-old believes in giving them some space early and only talks to them when they are confused about what to do and what not to.
“Your career improves by two-three years. I believe in empowering people. I believe in giving them space to express themselves and when they come to a stage when they feel jumbled, then I’ll have a conversation. I’ll talk to them like, ‘This is where you are heading and this is where you have to head.
“These are the kind of things you should be doing. You’ll regret not correcting those things early like I did. I don’t want you to waste two-three years of your career. You have to play more than what you have played,” the Indian skipper further said.


"
Arshiya Chopra,BJP MLA dances with supporters after Cong-JD(S) govt falls in K'taka,"After the Congress-JD(S) coalition government in Karnataka failed the floor test in the Assembly on Tuesday, BJP MLA MP Renukacharya was seen dancing with his supporters outside Ramada Hotel in Bengaluru. There were fireworks outside the hotel as well. Renukacharya was at the hotel to attend a legislature party meeting, hours after he voted against the coalition. ",https://www.india.com/news/india/bjp-mla-dances-with-supporters-after-congress-jds-karnataka-govt-falls-watch-3725670/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts ,"Hours after the Congress-JD(S) coalition government in Karnataka failed the floor test in the Assembly on Tuesday, BJP MLA Renukacharya took to streets dancing with party supporters.
Renukacharya is the legislator from Honnali, in Devangere district of Karnataka. In the video, he can be seen being urged by party workers to dance and celebrate BJP’s win in the majority test.
The head of the Janata Dal (Secular)-Congress coalition, H.D. Kumaraswamy on Tuesday resigned as Karnataka Chief Minister an hour after losing the trust vote in the Assembly on the confidence motion he had moved on July 18 to prove majority, a Raj Bhavan communique said.
“I hereby tender my resignation as the Chief Minister of Karnataka along with my cabinet and request you to accept the same,” Kumaraswamy said in the letter submitted to Governor Vajubhai Vala at the Raj Bhavan.
Kumaraswamy lost the floor test by 6 votes after a four-day marathon debate. Of the 225-member Assembly, 20 legislators were absent for the floor test, reducing the House strength to 205 with 103 as the halfway mark for a simple majority.
“Chief Minister Kumaraswamy has lost the floor test, as 99 votes were in favour of the confidence motion and 105 against it,” Assembly Speaker KR Ramesh Kumar told the members of the House after the trust vote.
"
Arshiya Chopra,"Chhattisgarh municipality sets up cafe, to give free food for plastic","Ambikapur Municipal Corporation in Chhattisgarh has set up a 'Garbage Cafe' to provide food to citizens in exchange for plastic waste. ""We're providing free food to those who bring 1 kg of plastic to us, it'll help us in keeping the city clean,"" Mayor Ajay Tirkey said. Free breakfast will be offered for those collecting 500 grams of plastic.",https://www.hindustantimes.com/india-news/give-garbage-eat-food-in-this-chhattisgarh-cafe/story-zgoZLbj9RIxl4eLhwr3vvN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"A municipal corporation in Chhattisgarh has come up with a novel plan to ensure that the area is clean and not strewn with plastic waster
The Ambikapur Municipal Corporation has set up a ‘Garbage Café’ that provides free food to all those who deposit plastic waste with them. “We are providing free food to those who bring 1 kg of plastic to us, it will help us in keeping the city clean,” Mayor Ajay Tirkey said, reports ANI.
Every kilo of trash will earn a free lunch while half a kilo will get free breakfast for ragpickers and homeless people. The civic body also plans to provide at shelter to these poor people at a later stage. The authorities have earmarked of ₹550,000 budget for the cafe.
According to reports, the scheme is a part of the Swachh Bharat Abhiyan and the plastic waste will be used to build roads.
Many states in India have banned plastic but is still being used in several area leading to environmental pollution. Disposal of plastic is a problem world over with the United Nations warning that world is drowning in an ocean of plastic waste

"
Arshiya Chopra,No problem in preparing food inside toilet: MP Minister Imarti Devi,"Madhya Pradesh Minister Imarti Devi said that there is no problem in cooking food inside a toilet if a partition exists between the toilet-seat and stove. ""Utensils can be kept on the bathroom seat,"" she added. This comes after reports claimed that a toilet in an Anganwadi centre in Karera was being used for preparing food for children.",https://www.india.com/news/india/food-can-be-kept-inside-toilet-utensils-on-bathroom-seat-mp-minister-imarti-devi-3725601/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"The comments from the minister came after it was reported that a toilet in Madhya Pradesh’s Anganwadi centre at Karera was being used for preparing food for children.
“You should understand that a partition exists there, these days even in our homes we have attached latrine-bathroom. What if our relatives refuse to eat in our house saying that we have attached latrine-bathroom?” asks Imarti Devi.
“Utensils can be kept on the bathroom seat. We keep utensils in our houses also. The pot is unused and is filled with gravel,” she said.
“An enquiry would be conducted in the case,” she added.
The compact kitchen cum toilet has both LPG cylinder and earthen stove for preparing food. Some items including cooking utensils can be seen stacked over the toilet seat.
Devendra Sundryal, District Officer, Women and Child Development programme said: “A Self Help Group had taken control of toilet and was using it as a temporary kitchen. Action is being taken against Anganwadi supervisor and workers involved”.
Anganwadi centres provide basic health care in Indian villages. It is a part of the Indian public health-care system

"
Arshiya Chopra,3 men reach Kolkata hospital claiming to be newborn girl's father,"A pregnant woman was admitted to a Kolkata hospital last week and a man accompanying her addressed himself as her husband. Soon another man came there, claiming to be her husband and newborn girl's father. Later, a third man claimed to be the newborn's father, but the woman confirmed that the second man is the newborn's father and her husband.",https://www.siasat.com/high-drama-hospital-3-men-claim-paternity-newborn-child-1558420/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"According to the report published in Times of India, the authorities at the hospital were forced to call police to resolve the issue.
It all started on Saturday evening when a 21-year-old pregnant woman was admitted in to the hospital.
At the time of admission, the woman was accompanied by her mother and a man who claimed to be her husband. The man had also made advance payment.
On Sunday, the woman was taken into operation theater for delivery.
Later, another man came to the hospital and claimed that he is the husband of the woman.
On Sunday evening, the second man produced the certificate to establish the claim. The first man confessed that he is woman’s friend.
Meanwhile, the woman delivered a baby girl.
The drama did not end there. Another man approached the hospital on Monday evening. He claimed that he is the father of the newborn girl. However, he did not claim that he is the husband of the woman.
Recording the statement, the woman confirmed that the second man is both her husband and the father of the newborn girl.
It may be mentioned that the second man and the woman had met in a club. Later, they entered into relationship. When the woman became pregnant, the man requested her to wait for some time as they are too young to start family.
Upset over it, the woman had lodged a complaint against him. Later, they got married.
As their marriage was not accepted by their family members, they started living separately.

"
Arshiya Chopra,"'Pakistan still has 30,000-40,000 terrorists,' PM Imran Khan admits","During his visit to US, Pakistan PM Imran Khan revealed his country still has about 30,000-40,000 militants ""who have been trained and fought in some part of Afghanistan or Kashmir"". He further said that until his Pakistan Tehreek-e-Insaf government came into power, the governments (in Pakistan) did not have the ""political will"" to disarm militant groups operating on their soil.",https://www.hindustantimes.com/india-news/pakistan-still-has-30-000-40-000-militants-admits-imran-khan/story-ryBMLqsuxst9fPW6GmvUJN.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Pakistan Prime Minister Imran Khan on Tuesday made a startling revelation that his country still has about 30,000 to 40,000 militants “who have been trained and fought in some part of Afghanistan or Kashmir.”
The Pakistani leader made these comments at the United States Institute of Peace during his three-day visit to the nation.
Khan also said that before his Pakistan Tehreek-e-Insaf government came into power, the governments did not have the “political will” to disarm militant groups operating on their soil.
“There was a watershed in Pakistani politics. In 2014, the Pakistani Taliban slaughtered 150 school children at Army Public School. All the political parties signed the National Action Plan and we all decided after that, that we will not allow any militant groups to operate inside Pakistan,” Khan said.
“Until we came into power, the governments did not have the political will, because when you talk about militant groups we still have about 30,000-40,000 armed people who have been trained and fought in some part of Afghanistan or Kashmir,” he revealed.
“We are the first government that has started disarming militant groups. This is the first time it’s happening. We’ve taken over their institutes, their seminaries. We have administrators there,” he added.
During a separate event, the Pakistani Prime Minister also said that they had 40 different militant groups operating within its borders.
He also claimed that previous governments were not in control and did not tell the US about the exact “truth on the ground.”
“We were fighting the US war on terror. Pakistan has nothing to do with 9/11. Al-Qaeda was in Afghanistan. There were no militant Taliban in Pakistan. But we joined the US war. Unfortunately, when things went wrong, where I blame my government, we did not tell the US exactly the truth on the ground,” Khan told US lawmakers at the Capitol Hill.
“Part of the reason was, our governments were not in control. There were 40 different militant groups operating within Pakistan,” he stated.
“So Pakistan went through a period where people like us were worried about could we survive it. So while the US expected us to do more and help the US win the war, Pakistan at that time was fighting for its own existence,” Khan added.

"
Nandini Sinha,Russia expressed deep regret for airspace intrusion: South Korea,"A Russian official has expressed ""deep regret"" after one of the country's military aircraft intruded into South Korean airspace, South Korea's presidential office said. The Russian official added that the intrusion was not intentional and blamed a device malfunction for the incident. The Russian military aircraft had entered airspace over an island claimed by both South Korea and Japan.",https://in.reuters.com/article/southkorea-russia-aircraft-malfunction/south-korea-says-russia-blamed-glitch-for-what-south-korea-said-was-air-intrusion-idINKCN1UJ08O?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,"Russia’s embassy in Seoul on Wednesday said that Moscow had not apologised for an alleged airspace violation the previous day, after South Korea said that a Russian attache had expressed “deep regret” and blamed malfunctioning equipment.
A Russian military aircraft entered airspace near a group of islets claimed by both South Korea and Japan on Tuesday, during a long-range joint air patrol with Chinese jets, according to South Korea and Japan, which both scrambled fighter jets in response.
South Korean warplanes fired flares and hundreds of warning shots near the Russian aircraft, and the incident triggered a round of diplomatic protests by countries in the region.
An unidentified Russian military attache in Seoul told South Korean officials on Tuesday that the plane appeared to have “entered an unplanned area due to a device malfunction”, said Yoon Do-han, South Korea’s presidential press secretary.
“Russia has conveyed its deep regret over the incident and said its defence ministry would immediately launch an investigation and take all necessary steps,” Yoon said.
“The officer said such a situation would have never occurred if it followed the initially planned route.”
Hours later, Russia’s embassy in Seoul said there had been no apology.
“The Russian side did not make an official apology,” the embassy in Seoul said, adding it had noted many inaccuracies in the comments by South Korea, Interfax reported.
The incident comes at a delicate time for a region that has for years been overshadowed by hostility between the United States and North Korea and has recently seen a flare-up in tension between South Korea and Japan.
Russia’s public statements on the issue have not mentioned any technical problems, nor has Russia announced any investigation or acknowledged a violation of South Korean airspace.
Yoon said in a later briefing that after the attache admitted a possible mistake and expressed regret, which was taken as Moscow’s official position, Russia “altered” its account by sending a document stating that it did not violate any airspace.
Russia also accused South Korean fighter jets of threatening the safety of Russian aircraft by interfering with their flight and failing to communicate, Yoon said.
"
